"","publisher","journal","role","editor","affiliation","url","date"
"93","Longdom","Advancements in Genetic Engineering","Editorial Board","Yu Zhao","Research Associate, Dartmouth College, Hanover, NH USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"94","Longdom","Advances in Automobile Engineering","Editorial Board","Dr. Mohamed KCHAOU","Associate professor  University of Sfax-Tunisia, Tunisia","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"95","Longdom","Advances in Automobile Engineering","Editorial Board","Margaret Stack","Editor-in-Chief Professor University of Strathclyde, UK","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"96","Longdom","Advances in Automobile Engineering","Editorial Board","Etim Ubong","Executive Editor Associate Professor, Mechanical Engineering Kettering University, USA","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"97","Longdom","Advances in Automobile Engineering","Editorial Board","Jian Xie","Executive Editor Associate Professor, Department of Mechanical Engineering IUPUIA Purdue University, USA","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"98","Longdom","Advances in Automobile Engineering","Editorial Board","Craig J Hoff","Professor, Mechanical Engineering Kettering University, USA","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"99","Longdom","Advances in Automobile Engineering","Editorial Board","Haofeng Chen","Department of Mechanical and Aerospace Engineering University of Strathclyde, Glasgow, UK","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"100","Longdom","Advances in Automobile Engineering","Editorial Board","Hongjoo Rhee","Associate Director, Engineering Mechanics and Materials Science Thrust Mississippi State University, USA","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"101","Longdom","Advances in Automobile Engineering","Editorial Board","Ibrahim E. Abdalla","Senior Lecturer, Faculty of Technology, Department of Engineering De Montfort University, UK","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"102","Longdom","Advances in Automobile Engineering","Editorial Board","Marcelo H. Ang, Jr.","Associate Professor, Department of Mechanical Engineering National University of Singapore, Singapore","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
