"","publisher","journal","role","editor","affiliation","url","date"
"91","SCIRP","Advances in Biological Chemistry","Editorial Board","Feng Wu Bai","Dalian University of Technology, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"92","SCIRP","Advances in Biological Chemistry","Editorial Board","Chi-Hin Cho","The Chinese University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"93","SCIRP","Advances in Biological Chemistry","Editorial Board","Madhu Dhar","University of Tennessee, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"94","SCIRP","Advances in Biological Chemistry","Editorial Board","Nicolay Ivanov Dodoff","Bulgarian Academy of Sciences, Bulgaria","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"95","SCIRP","Advances in Biological Chemistry","Editorial Board","Asim K. Duttaroy","University of Oslo, Norway","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"96","SCIRP","Advances in Biological Chemistry","Editorial Board","Hani El-Nezami","University of Hong Kong, China","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"97","SCIRP","Advances in Biological Chemistry","Editorial Board","Prakash MMS Kinthada FRSC","Sree Vidyanikethan Engineering College, India","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"98","SCIRP","Advances in Biological Chemistry","Editorial Board","Purnachandra Nagaraju Ganji","Emory University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"99","SCIRP","Advances in Biological Chemistry","Editorial Board","Devrishi Goswami","The Scripps Research Institute, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
"100","SCIRP","Advances in Biological Chemistry","Editorial Board","Alireza Heidari","American International Standards Institute (AISI), Irvine, California, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=611",2021-05-19
