publisher	journal	role	editor	affiliation	url	date
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Lucia Briatore	Ospedale Santa Corona, Italy	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Luís Eduardo Procópio Calliari	Santa Casa de Misericórdia de São Paulo, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Luis Henrique Canani	Universidade Federal do Rio Grande do Sul, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Salvatore Carbone	Pauley Heart Center, Virginia Commonwealth University, USA	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Andriy Cherkas	Lviv National Medical University, Ukraine	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Marco Comaschi	Istituto Clinico Ligure di Alta Specialità, GVM Care &amp; Research, Italy	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Manuel Reig Garcia-Galbis	Universidad de Atacama, Chile	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Maria Lucia Correa-Giannella	Universidade de São Paulo, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Sandra Roberta Gouvea Ferreira	Universidade de São Paulo, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Maria Cristina Foss-Freitas	Universidade de São Paulo, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Carlos Antonio Negrato	Associação de Diabéticos de Bauru, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Opeolu Ojo	University of Wolverhampton, UK	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diabetology & Metabolic Syndrome	NA	Maria Candida Parisi	Universidade de São Paulo, Brazil	https://dmsjournal.biomedcentral.com/about/editorial-board	2022-01-20
