editor	role	affiliation	journal	issn	publisher	url	date	orcid
Van-Huy Nguyen	Editorial Board	Binh Duong University Vietnam	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-2825-4649
Mihai Niculita	Editorial Board	Alexandru Ioan Cuza University of Iasi Romania	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-0351-5512
Rodolfo Nóbrega	Editorial Board	Imperial College London United kingdom	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-9858-8222
Adalberto Noyola-Robles	Editorial Board	Universidad Nacional Autónoma de México Instituto de Ingeniería Mexico	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-7224-988X
Maharaj Pandit	Editorial Board	University of Delhi India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Margot Parkes	Editorial Board	University of Northern British Columbia Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Theivasigamani Parthasarathi	Editorial Board	Vellore Institute of Technology India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Phaik Eong Poh	Editorial Board	Monash University Malaysia Malaysia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-4215-5284
Soni Pradhanang	Editorial Board	University of Rhode Island USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-1142-9457
Diego Rivera-Salazar	Editorial Board	Universidad del Desarrollo Chile	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-0916-1540
Nicolas Roche	Editorial Board	European Center for Research and Education of Environmental Geosciences France	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-8790-0578
Jorge Rodríguez R.	Editorial Board	Khalifa University United Arab Emirates	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-5936-9676
Abhishek RoyChowdhury	Editorial Board	Navajo Technical University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-6277-0404
Ricardo Santos	Editorial Board	Instituto Superior Tecnico Portugal	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Antonio Scala	Editorial Board	Institute for Complex Systems, CNR Italy	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-3414-2686
Balamurugan Srinivasan	Editorial Board	Bharathidasan University India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-5445-6076
Céline Surette	Editorial Board	Université de Moncton Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Matthew Wargo	Editorial Board	University of Vermont Larner College of Medicine USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Inga Winkler	Editorial Board	Central European University Austria	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-5878-4387
Fei Xu	Editorial Board	Shandong Normal University China	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-1060-357X
Andrea Zanini	Editorial Board	University of Parma Italy	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-4022-707X
