publisher	issn	journal	role	editor	affiliation	orcid	url	date
eLife	2050-084X	eLife	Senior editors	Suzanne R Pfeffer	Stanford University School of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	David Ron	Cambridge University, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Dominique Soldati-Favre	University of Geneva, Switzerland	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Kenton J Swartz	National Institute of Neurological Disorders and Stroke, NIH, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Amy Andreotti	Iowa State University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Hossein Ardehali	Northwestern University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Nir Ben-Tal	Tel Aviv University, Israel	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Anton M Bennett	Yale University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	James Berger	Johns Hopkins University School of Medicine, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Douglas L Black	University of California, Los Angeles, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Amie K Boal	Pennsylvania State University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Michael R Botchan	University of California, Berkeley, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Agnieszka Chacinska	University of Warsaw, Poland	NA	https://elifesciences.org/about/people	2022-02-15
